event_name,name,state_unit
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Manjot kaur,Punjab
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Khushi,Punjab
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,DISHA RANI,Punjab
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Pratiksha,Rajasthan
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Neha Kumawat,Rajasthan
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Payal Kumawat,Rajasthan
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Gaytri Godara,Rajasthan
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Rasmani Besra,SPSB
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Naysha Purty,SPSB
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,PRIYA MAHALI,SPSB
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Barsha Chakraborty,SPSB
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,KAVIYARASHI P,Tamilnadu
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Lakshmi Devi U,Tamilnadu
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,M.AMEERA SHAFI,Tamilnadu
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,R. MAHALAKSHMI,Tamilnadu
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,ASHAMSHETTI BHAVANI,Telangana
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Sahasrraa Samba,Telangana
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,SHAIK HASNA,Telangana
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Rafeeqah Tasneem,Telangana
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Vedakshi Tomar,Uttar Pradesh
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,SUNITA BHARDWAJ,Uttar Pradesh
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,MAHIMA MISHRA,Uttar Pradesh
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,CHHAVI RANA,Uttar Pradesh
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,ANISHA SEMWAL,Uttarakhand
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Anushka Bijalwan,Uttarakhand
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Kumari Saniya,Uttarakhand
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Ayushi Lingwal,Uttarakhand
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,SUJATA MANDI,West Bengal
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,IESNEHYA ORAON,West Bengal
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,SUDIPA DAS,West Bengal
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Namita Mahato,West Bengal
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Mitali Biswas,Assam
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,SHIMANTIKA RABHA,Assam
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Hainasri baro,Assam
43rd NTPC Junior National(M&W) Archery Championship - INDIAN ROUND WOMEN,Beauti Baglary,Assam
